colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
132,33,18,132,49,27 DE FEBRERO,ROSARIO,71,BALCARCE,ROSARIO,7969,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,49,27 DE FEBRERO,ROSARIO,383,CALLAO,ROSARIO,9541,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,49,27 DE FEBRERO,ROSARIO,102,DORREGO,ROSARIO,1289,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,49,27 DE FEBRERO,ROSARIO,102,DORREGO,ROSARIO,1551,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,49,27 DE FEBRERO,ROSARIO,150,MARTIN RODRIGUEZ,ROSARIO,1822,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,49,27 DE FEBRERO,ROSARIO,150,MARTIN RODRIGUEZ,ROSARIO,5537,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,49,27 DE FEBRERO,ROSARIO,53,OROÑO,ROSARIO,1450,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,49,27 DE FEBRERO,ROSARIO,53,OROÑO,ROSARIO,4400,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,49,27 DE FEBRERO,ROSARIO,91,OVIDIO LAGOS,ROSARIO,1791,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,49,27 DE FEBRERO,ROSARIO,123,SANTIAGO,ROSARIO,1328,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,49,27 DE FEBRERO,ROSARIO,123,SANTIAGO,ROSARIO,4516,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,171,9 DE JULIO,ROSARIO,67,C. COLON,ROSARIO,9697,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,171,9 DE JULIO,ROSARIO,147,L. N. ALEM,ROSARIO,6210,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,171,9 DE JULIO,ROSARIO,84,PRIMERO DE MAYO,ROSARIO,7502,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,25,AVELLANEDA,ROSARIO,395,CALLE 2121,ROSARIO,3910,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,25,AVELLANEDA,ROSARIO,484,CALLE 2127,ROSARIO,3548,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,25,AVELLANEDA,ROSARIO,454,CUMPARCITA,ROSARIO,3413,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,25,AVELLANEDA,ROSARIO,548,PJE. 2103,ROSARIO,3788,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,18805,AVENIDA OVIDIO LAGOS,ROSARIO,19561,BOULEVARD SEGUÍ,ROSARIO,OV. LAGOS Y BVD SEGUI HACIA ALV ACEB ALB,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,246,BATLLE Y ORDOÑEZ,ROSARIO,634,CALLE 2104,ROSARIO,4697,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,246,BATLLE Y ORDOÑEZ,ROSARIO,91,OVIDIO LAGOS,ROSARIO,7702,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,124,BERUTI,ROSARIO,125,RIOBAMBA,ROSARIO,1338,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,67,C. COLON,ROSARIO,403,COCHABAMBA,ROSARIO,6396,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,67,C. COLON,ROSARIO,377,ITUZAINGO,ROSARIO,9596,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,67,C. COLON,ROSARIO,33,PELLEGRINI,ROSARIO,6569,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,67,C. COLON,ROSARIO,143,ZEBALLOS,ROSARIO,6084,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,396,CALLE 2106,ROSARIO,484,CALLE 2127,ROSARIO,3220,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,396,CALLE 2106,ROSARIO,454,CUMPARCITA,ROSARIO,3006,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,396,CALLE 2106,ROSARIO,382,DR. F. RUIZ,ROSARIO,6143,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,396,CALLE 2106,ROSARIO,226,NUEVA C. A SOLDINI,ROSARIO,6701,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
132,33,18,132,395,CALLE 2121,ROSARIO,396,CALLE 2106,ROSARIO,2605,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,209,CERRITO,ROSARIO,124,BERUTI,ROSARIO,9877,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,209,CERRITO,ROSARIO,619,CHACABUCO,ROSARIO,5599,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,209,CERRITO,ROSARIO,337,NECOCHEA,ROSARIO,5579,UNICO,AV LIBERTAD Y SAN JUAN,132 UNICO > AV LIBERTAD Y SAN JUAN
132,33,18,132,715,DE LA LIBERTAD,ROSARIO,67,C. COLON,ROSARIO,5877,UNICO,BARRIO TIO ROLO,132 UNICO > BARRIO TIO ROLO
